[INFO] 2025-04-22T16:16:39.906Z START RequestId: uuid_9196ccf6_8242_402e_a0f4_ce653a6ad5e2	 Activity: maf_database_aggregator	 Provider: aws_ec2
[INFO] 2025-04-22T16:16:39.906Z FILE_TRANSFER RequestId: uuid_9196ccf6_8242_402e_a0f4_ce653a6ad5e2	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_7d398773bfc3e4435be56d8711457fd7fc190e97e32d7ec51a8a702e16118c4d.json	 Bucket: denethor	 FilePath: mafdb/mafdb_7d398773bfc3e4435be56d8711457fd7fc190e97e32d7ec51a8a702e16118c4d.json	 FilePathLocal: .tmp/mafdb	 FileSize: 355 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:39.906Z FILE_TRANSFER RequestId: uuid_9196ccf6_8242_402e_a0f4_ce653a6ad5e2	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_c5b5a3a4bd54a110140df77527325958d257fc9b669bca89b332593540c1dc20.json	 Bucket: denethor	 FilePath: mafdb/mafdb_c5b5a3a4bd54a110140df77527325958d257fc9b669bca89b332593540c1dc20.json	 FilePathLocal: .tmp/mafdb	 FileSize: 273 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:39.907Z FILE_TRANSFER RequestId: uuid_9196ccf6_8242_402e_a0f4_ce653a6ad5e2	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_1d419943bc17a86fe648d8caad874862360b7c73c08c99b7c26040bc9939b002.json	 Bucket: denethor	 FilePath: mafdb/mafdb_1d419943bc17a86fe648d8caad874862360b7c73c08c99b7c26040bc9939b002.json	 FilePathLocal: .tmp/mafdb	 FileSize: 273 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:39.907Z FILE_TRANSFER RequestId: uuid_9196ccf6_8242_402e_a0f4_ce653a6ad5e2	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_31199a0a134043b94c15114abad10433bfa58c2f87e3106720f88bf29e76f1ae.json	 Bucket: denethor	 FilePath: mafdb/mafdb_31199a0a134043b94c15114abad10433bfa58c2f87e3106720f88bf29e76f1ae.json	 FilePathLocal: .tmp/mafdb	 FileSize: 273 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:39.907Z FILE_TRANSFER RequestId: uuid_9196ccf6_8242_402e_a0f4_ce653a6ad5e2	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_f871e6272680ce0853ce488fc481f480aa4e243fa14dd104803b05fb209cf094.json	 Bucket: denethor	 FilePath: mafdb/mafdb_f871e6272680ce0853ce488fc481f480aa4e243fa14dd104803b05fb209cf094.json	 FilePathLocal: .tmp/mafdb	 FileSize: 273 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:39.907Z FILE_TRANSFER RequestId: uuid_9196ccf6_8242_402e_a0f4_ce653a6ad5e2	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_87129d44586b87142d9940a8b1bdbebcfa7b0454f32076964711670e9940a5bc.json	 Bucket: denethor	 FilePath: mafdb/mafdb_87129d44586b87142d9940a8b1bdbebcfa7b0454f32076964711670e9940a5bc.json	 FilePathLocal: .tmp/mafdb	 FileSize: 273 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:39.907Z FILE_TRANSFER RequestId: uuid_9196ccf6_8242_402e_a0f4_ce653a6ad5e2	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_ffac685782ba2ceabfc02088f70f3473d570818cc3d9c58c8979a425bc171247.json	 Bucket: denethor	 FilePath: mafdb/mafdb_ffac685782ba2ceabfc02088f70f3473d570818cc3d9c58c8979a425bc171247.json	 FilePathLocal: .tmp/mafdb	 FileSize: 273 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:39.907Z FILE_TRANSFER RequestId: uuid_9196ccf6_8242_402e_a0f4_ce653a6ad5e2	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_42b7a1940d80c9e5d1a1eb427219fad89ed0198775d719cc0f6171541419e487.json	 Bucket: denethor	 FilePath: mafdb/mafdb_42b7a1940d80c9e5d1a1eb427219fad89ed0198775d719cc0f6171541419e487.json	 FilePathLocal: .tmp/mafdb	 FileSize: 273 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:39.907Z FILE_TRANSFER RequestId: uuid_9196ccf6_8242_402e_a0f4_ce653a6ad5e2	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_7aa0e0772e1c689c49550813d4d69f69cf00ce1c31ded8e93e9d062016b4ea81.json	 Bucket: denethor	 FilePath: mafdb/mafdb_7aa0e0772e1c689c49550813d4d69f69cf00ce1c31ded8e93e9d062016b4ea81.json	 FilePathLocal: .tmp/mafdb	 FileSize: 273 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:39.907Z FILE_TRANSFER RequestId: uuid_9196ccf6_8242_402e_a0f4_ce653a6ad5e2	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_45d317fa4103ebc6a5ca76d68fd00bce02d7a5f088e6155430a660f0514147a3.json	 Bucket: denethor	 FilePath: mafdb/mafdb_45d317fa4103ebc6a5ca76d68fd00bce02d7a5f088e6155430a660f0514147a3.json	 FilePathLocal: .tmp/mafdb	 FileSize: 232 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:39.907Z FILE_TRANSFER RequestId: uuid_9196ccf6_8242_402e_a0f4_ce653a6ad5e2	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_e55488255b1fbcc9aaabaac963dff236ce30a48f048179f2652bf6431063cf4b.json	 Bucket: denethor	 FilePath: mafdb/mafdb_e55488255b1fbcc9aaabaac963dff236ce30a48f048179f2652bf6431063cf4b.json	 FilePathLocal: .tmp/mafdb	 FileSize: 232 bytes	 TransferDuration: 0 ms
