[INFO] 2025-04-22T16:16:23.923Z START RequestId: uuid_c4f69a28_0162_46c0_9fee_14e27120568a	 Activity: maf_database_creator	 Provider: aws_ec2
[INFO] 2025-04-22T16:16:23.923Z FILE_TRANSFER RequestId: uuid_c4f69a28_0162_46c0_9fee_14e27120568a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL358_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL358_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:23.923Z FILE_TRANSFER RequestId: uuid_c4f69a28_0162_46c0_9fee_14e27120568a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL358_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL358_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:23.924Z FILE_TRANSFER RequestId: uuid_c4f69a28_0162_46c0_9fee_14e27120568a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL358_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL358_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 183 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:23.924Z FILE_TRANSFER RequestId: uuid_c4f69a28_0162_46c0_9fee_14e27120568a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL358_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL358_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 239 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:23.924Z FILE_TRANSFER RequestId: uuid_c4f69a28_0162_46c0_9fee_14e27120568a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL358_Inner5.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL358_Inner5.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 355 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:23.924Z FILE_TRANSFER RequestId: uuid_c4f69a28_0162_46c0_9fee_14e27120568a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL358_Inner6.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL358_Inner6.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 243 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:23.924Z FILE_TRANSFER RequestId: uuid_c4f69a28_0162_46c0_9fee_14e27120568a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL358_Inner7.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL358_Inner7.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 567 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:23.924Z FILE_TRANSFER RequestId: uuid_c4f69a28_0162_46c0_9fee_14e27120568a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL458_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL458_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 185 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:23.924Z FILE_TRANSFER RequestId: uuid_c4f69a28_0162_46c0_9fee_14e27120568a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL458_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL458_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 243 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:23.924Z FILE_TRANSFER RequestId: uuid_c4f69a28_0162_46c0_9fee_14e27120568a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL458_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL458_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 299 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:23.924Z FILE_TRANSFER RequestId: uuid_c4f69a28_0162_46c0_9fee_14e27120568a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL458_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL458_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 185 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:23.924Z FILE_TRANSFER RequestId: uuid_c4f69a28_0162_46c0_9fee_14e27120568a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL458_Inner5.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL458_Inner5.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 453 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:23.924Z FILE_TRANSFER RequestId: uuid_c4f69a28_0162_46c0_9fee_14e27120568a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL525_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL525_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 185 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:23.924Z FILE_TRANSFER RequestId: uuid_c4f69a28_0162_46c0_9fee_14e27120568a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL525_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL525_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:23.924Z FILE_TRANSFER RequestId: uuid_c4f69a28_0162_46c0_9fee_14e27120568a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL525_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL525_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 185 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:23.924Z FILE_TRANSFER RequestId: uuid_c4f69a28_0162_46c0_9fee_14e27120568a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL525_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL525_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 299 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:23.924Z FILE_TRANSFER RequestId: uuid_c4f69a28_0162_46c0_9fee_14e27120568a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL525_Inner5.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL525_Inner5.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 455 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:23.924Z FILE_TRANSFER RequestId: uuid_c4f69a28_0162_46c0_9fee_14e27120568a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL526_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL526_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:23.924Z FILE_TRANSFER RequestId: uuid_c4f69a28_0162_46c0_9fee_14e27120568a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL526_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL526_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:23.924Z FILE_TRANSFER RequestId: uuid_c4f69a28_0162_46c0_9fee_14e27120568a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL526_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL526_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 243 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:23.924Z FILE_TRANSFER RequestId: uuid_c4f69a28_0162_46c0_9fee_14e27120568a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL526_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL526_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 243 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:23.924Z FILE_TRANSFER RequestId: uuid_c4f69a28_0162_46c0_9fee_14e27120568a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL526_Inner5.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL526_Inner5.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 457 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:23.924Z FILE_TRANSFER RequestId: uuid_c4f69a28_0162_46c0_9fee_14e27120568a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL592_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL592_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 185 bytes	 TransferDuration: 0 ms
