[INFO] 2025-04-22T16:16:51.864Z START RequestId: uuid_951f50c0_3069_467e_bbcb_739bcbe5e87d	 Activity: maf_database_creator	 Provider: aws_ec2
[INFO] 2025-04-22T16:16:51.864Z FILE_TRANSFER RequestId: uuid_951f50c0_3069_467e_bbcb_739bcbe5e87d	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 185 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:51.864Z FILE_TRANSFER RequestId: uuid_951f50c0_3069_467e_bbcb_739bcbe5e87d	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 185 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:51.864Z FILE_TRANSFER RequestId: uuid_951f50c0_3069_467e_bbcb_739bcbe5e87d	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 339 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:51.864Z FILE_TRANSFER RequestId: uuid_951f50c0_3069_467e_bbcb_739bcbe5e87d	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL256_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL256_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:51.864Z FILE_TRANSFER RequestId: uuid_951f50c0_3069_467e_bbcb_739bcbe5e87d	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL256_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL256_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 245 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:51.864Z FILE_TRANSFER RequestId: uuid_951f50c0_3069_467e_bbcb_739bcbe5e87d	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL256_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL256_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 301 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:51.864Z FILE_TRANSFER RequestId: uuid_951f50c0_3069_467e_bbcb_739bcbe5e87d	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL256_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL256_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 191 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:51.864Z FILE_TRANSFER RequestId: uuid_951f50c0_3069_467e_bbcb_739bcbe5e87d	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL256_Inner5.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL256_Inner5.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 421 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:51.864Z FILE_TRANSFER RequestId: uuid_951f50c0_3069_467e_bbcb_739bcbe5e87d	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL256_Inner6.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL256_Inner6.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 481 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:51.864Z FILE_TRANSFER RequestId: uuid_951f50c0_3069_467e_bbcb_739bcbe5e87d	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL256_Inner7.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL256_Inner7.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 539 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:51.864Z FILE_TRANSFER RequestId: uuid_951f50c0_3069_467e_bbcb_739bcbe5e87d	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL256_Inner8.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL256_Inner8.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 640 bytes	 TransferDuration: 0 ms
