es_id;se_id;statistics_id;value_float;value_integer;value_string
1;1;1;49.06268100012312;;
2;2;1;263.95358700028737;;
3;3;1;45.48251000005621;;
4;4;1;260.6110480001007;;
5;5;1;46.33042299974477;;
6;6;1;248.2376119996843;;
7;7;1;221.98249699999906;;
8;8;1;347.43078200000355;;
9;9;1;1.5287050000551972;;
10;10;1;59.75362300000597;;
11;11;3;;;['tree_ORTHOMCL1_Inner1.nexus', 'tree_ORTHOMCL1_Inner2.nexus', 'tree_ORTHOMCL1_Inner3.nexus']
12;11;4;;;
13;11;5;;;
14;11;6;382.711922999988;;
15;12;3;;;['tree_ORTHOMCL256_Inner1.nexus', 'tree_ORTHOMCL256_Inner2.nexus', 'tree_ORTHOMCL256_Inner3.nexus', 'tree_ORTHOMCL256_Inner4.nexus', 'tree_ORTHOMCL256_Inner5.nexus', 'tree_ORTHOMCL256_Inner6.nexus', 'tree_ORTHOMCL256_Inner7.nexus', 'tree_ORTHOMCL256_Inner8.nexus']
16;12;4;;;
17;12;5;;;
18;12;6;382.60913900001015;;
19;13;7;;0;
20;13;8;;;{}
21;13;9;0.3688449999117438;;
22;14;1;103.03379800006951;;
23;15;1;438.856990999966;;
24;16;1;20.512546999952974;;
25;17;1;60.32077899999422;;
26;18;3;;;['tree_ORTHOMCL1_Inner1.nexus', 'tree_ORTHOMCL1_Inner2.nexus', 'tree_ORTHOMCL1_Inner3.nexus']
27;18;4;;;
28;18;5;;;
29;18;6;382.61351599999216;;
30;19;3;;;['tree_ORTHOMCL256_Inner1.nexus', 'tree_ORTHOMCL256_Inner2.nexus', 'tree_ORTHOMCL256_Inner3.nexus', 'tree_ORTHOMCL256_Inner4.nexus', 'tree_ORTHOMCL256_Inner5.nexus', 'tree_ORTHOMCL256_Inner6.nexus', 'tree_ORTHOMCL256_Inner7.nexus', 'tree_ORTHOMCL256_Inner8.nexus']
31;19;4;;;
32;19;5;;;
33;19;6;382.84456200005934;;
34;20;7;;0;
35;20;8;;;{}
36;20;9;0.3872379999165787;;
37;21;1;101.80654599992067;;
38;22;1;400.5964220000351;;
39;23;1;539.530635999995;;
40;24;1;162.60960199997498;;
41;25;1;601.8301529999235;;
42;26;1;780.7781290000548;;
43;27;1;402.5192229998993;;
44;28;1;578.848225999991;;
45;29;1;381.25021799999104;;
46;30;1;679.6263329999874;;
47;31;1;1.6205550000449875;;
48;32;1;41.225092999980006;;
49;33;1;2.8723489999720186;;
50;34;1;2.427144999955999;;
51;35;1;2.9936590000261276;;
52;36;1;2.6712149999639223;;
53;37;1;60.10598100010611;;
54;38;1;2.6896260000057737;;
55;39;1;2.855187000022852;;
56;40;1;40.116927999974905;;
