[INFO] 2025-04-20T19:33:44.996Z FILE_METRICS_START RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 S3Key: tree	 Provider: aws_lambda	 StartTime: 138.348863741 ms	 ExecutionTag: file_metrics_tag_1745177624996
[INFO] 2025-04-20T19:33:46.107Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1.nexus	 FilePathLocal: /tmp/files	 FileSize: 339 bytes	 TransferDuration: 197.30782999999974 ms
[INFO] 2025-04-20T19:33:46.227Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1000.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1000.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 119.56581300000835 ms
[INFO] 2025-04-20T19:33:46.327Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1002.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1002.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 99.92412599999057 ms
[INFO] 2025-04-20T19:33:46.427Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1003.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1003.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 99.82351700000436 ms
[INFO] 2025-04-20T19:33:46.527Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1005.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1005.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 99.77628300001129 ms
[INFO] 2025-04-20T19:33:46.627Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1006.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1006.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 99.84642699998858 ms
[INFO] 2025-04-20T19:33:46.727Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1007.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1007.nexus	 FilePathLocal: /tmp/files	 FileSize: 407 bytes	 TransferDuration: 99.67363900000237 ms
[INFO] 2025-04-20T19:33:46.867Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1008.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1008.nexus	 FilePathLocal: /tmp/files	 FileSize: 399 bytes	 TransferDuration: 139.65333199999463 ms
[INFO] 2025-04-20T19:33:46.967Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1009.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1009.nexus	 FilePathLocal: /tmp/files	 FileSize: 406 bytes	 TransferDuration: 99.89415999999096 ms
[INFO] 2025-04-20T19:33:47.067Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1018.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1018.nexus	 FilePathLocal: /tmp/files	 FileSize: 407 bytes	 TransferDuration: 99.7097239999789 ms
[INFO] 2025-04-20T19:33:47.167Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1021.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1021.nexus	 FilePathLocal: /tmp/files	 FileSize: 403 bytes	 TransferDuration: 99.77075200001195 ms
