[INFO] 2025-04-20T21:49:23.147Z FILE_METRICS_START RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 S3Key: tree	 Provider: aws_lambda	 StartTime: 828.634293773 ms	 ExecutionTag: file_metrics_tag_1745185763146
[INFO] 2025-04-20T21:49:23.852Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1.nexus	 FilePathLocal: /tmp/files	 FileSize: 339 bytes	 TransferDuration: 156.64605300003132 ms
[INFO] 2025-04-20T21:49:23.992Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1000.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1000.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 139.69738000002963 ms
[INFO] 2025-04-20T21:49:24.092Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1002.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1002.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 99.84911300000476 ms
[INFO] 2025-04-20T21:49:24.212Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1003.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1003.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 119.78056700002071 ms
[INFO] 2025-04-20T21:49:24.332Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1005.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1005.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 119.7930109999561 ms
[INFO] 2025-04-20T21:49:24.452Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1006.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1006.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 119.73668799998904 ms
[INFO] 2025-04-20T21:49:24.552Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1007.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1007.nexus	 FilePathLocal: /tmp/files	 FileSize: 407 bytes	 TransferDuration: 99.85600600009548 ms
[INFO] 2025-04-20T21:49:24.672Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1008.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1008.nexus	 FilePathLocal: /tmp/files	 FileSize: 399 bytes	 TransferDuration: 119.76359000004777 ms
[INFO] 2025-04-20T21:49:24.792Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1009.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1009.nexus	 FilePathLocal: /tmp/files	 FileSize: 406 bytes	 TransferDuration: 119.7476510000115 ms
[INFO] 2025-04-20T21:49:24.912Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1018.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1018.nexus	 FilePathLocal: /tmp/files	 FileSize: 407 bytes	 TransferDuration: 119.81618200002231 ms
[INFO] 2025-04-20T21:49:25.033Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1021.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1021.nexus	 FilePathLocal: /tmp/files	 FileSize: 403 bytes	 TransferDuration: 119.81695899999067 ms
[INFO] 2025-04-20T21:49:25.132Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1023.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1023.nexus	 FilePathLocal: /tmp/files	 FileSize: 413 bytes	 TransferDuration: 99.69760699993913 ms
[INFO] 2025-04-20T21:49:25.254Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1027.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1027.nexus	 FilePathLocal: /tmp/files	 FileSize: 399 bytes	 TransferDuration: 121.37028799998006 ms
[INFO] 2025-04-20T21:49:25.372Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1029.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1029.nexus	 FilePathLocal: /tmp/files	 FileSize: 407 bytes	 TransferDuration: 118.31431699999939 ms
