[INFO] 2025-04-20T22:00:29.082Z FILE_METRICS_START RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 S3Key: tree	 Provider: aws_lambda	 StartTime: 1494.575633334 ms	 ExecutionTag: file_metrics_tag_1745186429082
[INFO] 2025-04-20T22:00:29.766Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1.nexus	 FilePathLocal: /tmp/files	 FileSize: 339 bytes	 TransferDuration: 119.77124600002753 ms
[INFO] 2025-04-20T22:00:29.886Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1000.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1000.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 119.81611199985309 ms
[INFO] 2025-04-20T22:00:30.006Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1002.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1002.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 119.7332300000653 ms
[INFO] 2025-04-20T22:00:30.126Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1003.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1003.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 119.78892700017241 ms
[INFO] 2025-04-20T22:00:30.246Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1005.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1005.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 119.81229999992138 ms
[INFO] 2025-04-20T22:00:30.366Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1006.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1006.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 119.79205600005116 ms
[INFO] 2025-04-20T22:00:30.486Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1007.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1007.nexus	 FilePathLocal: /tmp/files	 FileSize: 407 bytes	 TransferDuration: 119.70928199980335 ms
[INFO] 2025-04-20T22:00:30.607Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1008.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1008.nexus	 FilePathLocal: /tmp/files	 FileSize: 399 bytes	 TransferDuration: 119.87539200003994 ms
[INFO] 2025-04-20T22:00:30.727Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1009.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1009.nexus	 FilePathLocal: /tmp/files	 FileSize: 406 bytes	 TransferDuration: 119.79679099999885 ms
[INFO] 2025-04-20T22:00:30.846Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1018.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1018.nexus	 FilePathLocal: /tmp/files	 FileSize: 407 bytes	 TransferDuration: 119.66714100003628 ms
[INFO] 2025-04-20T22:00:30.986Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1021.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1021.nexus	 FilePathLocal: /tmp/files	 FileSize: 403 bytes	 TransferDuration: 139.52016700000058 ms
