[INFO] 2025-05-03T23:19:08.770Z FILE_METRICS_START RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 S3Key: tree	 Provider: aws_lambda	 StartTime: 849.060403081 ms	 ExecutionTag: file_metrics_tag_1746314348750
[INFO] 2025-05-03T23:19:09.550Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1.nexus	 FilePathLocal: /tmp/files	 FileSize: 339 bytes	 TransferDuration: 176.38429900000574 ms
[INFO] 2025-05-03T23:19:09.650Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1000.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1000.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 99.80262499993842 ms
[INFO] 2025-05-03T23:19:09.770Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1002.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1002.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 119.7931230000222 ms
[INFO] 2025-05-03T23:19:09.870Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1003.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1003.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 99.78509100005795 ms
[INFO] 2025-05-03T23:19:10.010Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1005.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1005.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 139.70820500003356 ms
[INFO] 2025-05-03T23:19:10.110Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1006.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1006.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 99.89106900002298 ms
[INFO] 2025-05-03T23:19:10.210Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1007.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1007.nexus	 FilePathLocal: /tmp/files	 FileSize: 407 bytes	 TransferDuration: 99.94126899994171 ms
[INFO] 2025-05-03T23:19:10.310Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1008.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1008.nexus	 FilePathLocal: /tmp/files	 FileSize: 399 bytes	 TransferDuration: 99.617233999993 ms
[INFO] 2025-05-03T23:19:10.430Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1009.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1009.nexus	 FilePathLocal: /tmp/files	 FileSize: 406 bytes	 TransferDuration: 119.72360899994783 ms
[INFO] 2025-05-03T23:19:10.530Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1018.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1018.nexus	 FilePathLocal: /tmp/files	 FileSize: 407 bytes	 TransferDuration: 99.9277199999824 ms
[INFO] 2025-05-03T23:19:10.636Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1021.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1021.nexus	 FilePathLocal: /tmp/files	 FileSize: 403 bytes	 TransferDuration: 105.81179899998006 ms
[INFO] 2025-05-03T23:19:10.737Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1023.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1023.nexus	 FilePathLocal: /tmp/files	 FileSize: 413 bytes	 TransferDuration: 101.22213300007843 ms
